SPC,AGE,MASS,WSP,HID,SPD,FHO
Wyvern,16,1304,4,4.83,4800,611
Dragon,2726,3693174,52,4.82,114400,1960
Dragon,377,154201,19.4,4.61,42680,1123
Hydra,169,40146,13,2.65,7800,706
Dragon,1571,1549315,39.6,1.49,87120,1441
Hydra,101,26198,10.1,2.54,6060,581
Wyvern,310,130902,17.6,3.52,21120,1051
Wyvern,606,317308,24.6,3.67,29520,1000
Hydra,262,108457,16.2,2.37,9720,955
Hydra,113,18533,10.6,2.33,6360,735
Hydra,57,7008,7.5,4.79,4500,827
Hydra,56,9081,7.5,2.48,4500,1217
Hydra,76,14141,8.7,3.08,5220,807
Wyvern,108,14205,10.4,1.96,12480,411
Hydra,54,6949,7.3,1.87,4380,642
Wyvern,150,34616,12.2,1.88,14640,750
Hydra,371,178737,19.3,2.49,11580,934
Hydra,136,28888,11.6,2.93,6960,606
Wyvern,395,143719,19.9,2.87,23880,899
Dragon,146,30740,12.1,2.61,26620,1146
Wyvern,876,431027,29.6,3.7,35520,735
Hydra,266,104720,16.3,3.91,9780,978
Hydra,216,83972,14.7,1.23,8820,664
Wyvern,805,544184,28.4,3.53,34080,1005
Dragon,178,40923,13.3,4.14,29260,636
Wyvern,306,117675,17.5,2.35,21000,812
Dragon,4,132,2,2.87,4400,289
Hydra,297,97554,17.2,1.26,10320,687
Dragon,2691,2093088,51.9,4.93,114180,1332
Dragon,569,170444,23.9,2.92,52580,835
Hydra,193,39141,13.9,1.95,8340,714
Dragon,877,422914,29.5,5,64900,749
Wyvern,117,22707,10.8,2.97,12960,906
Dragon,83,13059,9.1,2.55,20020,607
Hydra,23,3437,4.8,4.34,2880,360
Dragon,926,527752,30.4,2.63,66880,1208
Wyvern,158,57143,12.5,4.89,15000,865
Wyvern,269,90308,16.4,1.38,19680,687
Wyvern,226,79946,15,1.4,18000,564
Wyvern,76,12620,8.7,2.36,10440,852
Wyvern,789,374017,28.1,1.11,33720,1152
Hydra,196,70521,14,1.64,8400,1083
Hydra,202,99115,14.2,2.95,8520,493
Wyvern,84,17498,9.2,4.04,11040,481
Wyvern,546,222573,23.3,4.25,27960,1194
Wyvern,854,523245,29.2,2.13,35040,1364
Dragon,1152,763740,33.7,3.82,74140,1092
Wyvern,188,69834,13.7,2.72,16440,1077
Hydra,151,60889,12.2,4.15,7320,682
Wyvern,577,231462,24,2.37,28800,1018
Wyvern,236,60252,15.4,4.26,18480,737
Wyvern,19,1826,4.3,2.21,5160,1034
Wyvern,316,79404,17.8,3.14,21360,766
Hydra,160,46612,12.6,4.21,7560,710
Hydra,73,13648,8.5,1.19,5100,1069
Wyvern,150,39937,12.3,4.54,14760,838
Hydra,237,70142,15.4,4.51,9240,1060
Hydra,319,101956,17.9,3.11,10740,500
Wyvern,8,418,2.8,3.75,3360,428
Wyvern,301,84979,17.3,3.52,20760,582
Dragon,168,51104,13,1.18,28600,1195
Wyvern,600,208991,24.5,2.45,29400,922
Wyvern,230,54469,15.2,4.28,18240,811
Hydra,505,243034,22.4,3.46,13440,1150
Wyvern,67,12502,8.2,3.01,9840,628
Wyvern,1121,565235,33.4,1.69,40080,717
Wyvern,687,377986,26.2,2.79,31440,1240
Wyvern,191,53617,13.8,1.16,16560,923
Hydra,166,44798,12.9,2.42,7740,1041
Hydra,46,6414,6.8,3.52,4080,679
Dragon,1231,529768,35.3,2.67,77660,1456
Hydra,43,6507,6.6,1.09,3960,609
Dragon,119,30948,10.9,4.97,23980,567
Hydra,196,55892,14,4.79,8400,663
Dragon,2226,2171302,47.2,1.15,103840,1347
Dragon,151,36939,12.3,2.65,27060,975
Dragon,352,157817,18.7,2.63,41140,1072
Dragon,639,210729,25.3,1.81,55660,596
Hydra,345,122834,18.6,2.04,11160,883
Hydra,655,296560,25.6,4,15360,1150
Wyvern,573,349938,23.9,1.5,28680,1096
Dragon,938,608768,30.7,2.8,67540,820
Hydra,981,716325,31.4,3.29,18840,1290
Wyvern,1318,1371899,36.3,3.2,43560,1127
Wyvern,738,454207,27.2,2.74,32640,1512
Hydra,6,318,2.5,1.63,1500,278
Hydra,302,87084,17.4,3.69,10440,321
Dragon,2548,2097170,50.6,2.19,111320,1458
Hydra,68,11529,8.3,2.52,4980,286
Hydra,33,4154,5.8,4.28,3480,279
Hydra,44,8310,6.6,2.28,3960,881
Wyvern,198,61602,14.1,4.14,16920,1144
Hydra,22,2604,4.7,2.96,2820,553
Wyvern,840,466136,29,3.24,34800,887
Wyvern,591,412132,24.2,2.7,29040,1051
Hydra,76,10487,8.7,1.18,5220,933
Dragon,286,134506,16.9,2.83,37180,1088
Wyvern,48,5444,6.9,1.9,8280,744
Wyvern,330,129503,18.2,2.09,21840,983
Wyvern,166,38578,12.9,2.36,15480,594
Wyvern,274,93875,16.6,2.84,19920,1095
Hydra,193,56115,13.9,1.92,8340,835
Wyvern,122,27727,11,2.79,13200,1023
Wyvern,698,462896,26.4,4.57,31680,1113
Hydra,64,8949,8,1.69,4800,563
Hydra,85,16148,9.3,4.15,5580,972
Hydra,56,8990,7.5,2.42,4500,611
Hydra,269,102018,16.4,4.23,9840,846
Wyvern,1085,825218,33,1.8,39600,1430
Dragon,488,270389,22.1,4.8,48620,1155
Wyvern,450,166937,21.3,3.27,25560,776
Wyvern,747,299477,27.3,3.26,32760,1132
Dragon,1219,764393,34.9,2.62,76780,944
Wyvern,658,361453,25.6,4.66,30720,1136
Dragon,58,8311,7.6,1.84,16720,683
Dragon,1437,1208875,37.8,2.64,83160,1306
Hydra,353,126450,18.8,1.84,11280,1022
Dragon,1466,1064771,38.3,1.5,84260,1410
Hydra,827,402282,28.7,2.54,17220,1374
Hydra,87,16191,9.3,4.14,5580,743
Hydra,3,79,1.7,1.79,1020,967
Hydra,539,177250,23.2,3.12,13920,344
Dragon,177,41321,13.3,4.76,29260,753
Hydra,50,6891,7.1,1.17,4260,453
Wyvern,11,758,3.3,1.33,3960,453
Hydra,282,70328,16.8,4.89,10080,380
Wyvern,192,56896,13.8,4.41,16560,905
Wyvern,398,180886,19.9,4.26,23880,975
Hydra,235,65278,15.3,3.28,9180,352
Hydra,135,35585,11.6,3.74,6960,441
Dragon,692,316823,26.2,2.02,57640,1166
Hydra,209,79986,14.5,2.95,8700,813
Dragon,975,637155,31.2,3.86,68640,1401
Hydra,180,47458,13.4,4.82,8040,661
Wyvern,2030,1095039,44.9,2.9,53880,1248
Wyvern,402,156805,20,3.34,24000,701
Hydra,263,90758,16.2,4.81,9720,335
Hydra,222,84242,14.9,1.86,8940,1109
Wyvern,131,29534,11.5,1.21,13800,610
Hydra,588,293273,24.2,3.89,14520,1370
Hydra,370,161608,19.2,2.35,11520,1180
Hydra,14,1034,3.8,4.48,2280,474
Hydra,244,82487,15.6,1.6,9360,914
Hydra,96,21674,9.8,2.08,5880,789
Hydra,496,191625,22.3,4.84,13380,1142
Hydra,19,1645,4.4,3.93,2640,551
Hydra,256,99428,16,4.26,9600,1446
Hydra,274,94956,16.5,4.99,9900,1042
Dragon,139,44775,11.8,3.78,25960,881
Wyvern,503,319148,22.4,2.68,26880,499
Wyvern,205,37886,14.3,1.06,17160,423
Wyvern,934,740092,30.5,2.5,36600,988
Wyvern,1649,1562803,40.6,2.11,48720,968
Dragon,61,9076,7.8,2.14,17160,696
Dragon,943,696962,30.7,1.48,67540,1541
Hydra,160,27675,12.6,3.98,7560,311
Wyvern,376,174859,19.4,2.73,23280,851
Dragon,186,46604,13.6,3.97,29920,747
Hydra,143,41265,11.9,1.51,7140,838
Wyvern,230,69009,15.2,3.44,18240,764
Dragon,5407,5374972,73.6,4.4,161920,2132
Hydra,70,11315,8.4,1.71,5040,535
Wyvern,1307,1303468,36.3,4.5,43560,1216
Hydra,224,63437,15,4.54,9000,469
Dragon,2962,2873278,54.5,4.74,119900,1629
